constituency_no,constituency,district,polling_booths,total_voters,female_voters,male_voters,alliance,candidate_name,party
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",LDF,K. R. Jayananda,CPI(M)
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",UDF,A. K. M. Ashraf,IUML
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",NDA,K. Surendran,BJP
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",Others,Sanjeeva,BSP
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",Others,Abdul Latheef I,Independent
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",Others,D Surendran Nair,Independent
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",Others,Gean Lavina Monteiro,Independent
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",Others,John D' Souza,Independent
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",Others,Kannur Abdulla Master,Independent
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",Others,Mohammed Ashraf,Independent
1,Manjeshwaram,Kasaragod,229,"2,30,113","1,14,312","1,15,801",Others,Mohammed Ashraf K A,Independent
2,Kasaragod,Kasaragod,218,"2,10,923","1,05,399","1,05,524",LDF,Shanavas Padhoor,Independent (INL Support)
2,Kasaragod,Kasaragod,218,"2,10,923","1,05,399","1,05,524",UDF,Kallatra Mahin Haji,IUML
2,Kasaragod,Kasaragod,218,"2,10,923","1,05,399","1,05,524",NDA,Ashwini M.L.,BJP
2,Kasaragod,Kasaragod,218,"2,10,923","1,05,399","1,05,524",Others,Mohammed Ali Fathah B M,Independent
2,Kasaragod,Kasaragod,218,"2,10,923","1,05,399","1,05,524",Others,Shanavas A A,Independent
3,Udma,Kasaragod,237,"2,28,512","1,16,342","1,12,166",LDF,C. H. Kunhambu,CPI(M)
3,Udma,Kasaragod,237,"2,28,512","1,16,342","1,12,166",UDF,Neelakantan,INC
3,Udma,Kasaragod,237,"2,28,512","1,16,342","1,12,166",NDA,Manulal Meloth,BJP
3,Udma,Kasaragod,237,"2,28,512","1,16,342","1,12,166",Others,Kunhampu P P S/o Raman,Independent
3,Udma,Kasaragod,237,"2,28,512","1,16,342","1,12,166",Others,Kunhiraman,Independent
3,Udma,Kasaragod,237,"2,28,512","1,16,342","1,12,166",Others,Naseer,Independent
4,Kanhangad,Kasaragod,239,"2,23,980","1,14,966","1,09,008",LDF,Govindan Pallikkappil,CPI
4,Kanhangad,Kasaragod,239,"2,23,980","1,14,966","1,09,008",UDF,Shyji Ottapalli,KEC
4,Kanhangad,Kasaragod,239,"2,23,980","1,14,966","1,09,008",NDA,M. Balraj,BJP
4,Kanhangad,Kasaragod,239,"2,23,980","1,14,966","1,09,008",Others,B. Vijayakumar,BSP
5,Thrikaripur,Kasaragod,218,"2,10,090","1,08,044","1,02,044",LDF,V. P. P. Mustafa,CPI(M)
5,Thrikaripur,Kasaragod,218,"2,10,090","1,08,044","1,02,044",UDF,Sandeep Varier,INC
5,Thrikaripur,Kasaragod,218,"2,10,090","1,08,044","1,02,044",NDA,Ravi Kulangara,TTP
5,Thrikaripur,Kasaragod,218,"2,10,090","1,08,044","1,02,044",Others,Musthafa P P,Independent
5,Thrikaripur,Kasaragod,218,"2,10,090","1,08,044","1,02,044",Others,Musthafa V P,Independent
5,Thrikaripur,Kasaragod,218,"2,10,090","1,08,044","1,02,044",Others,Sandeep Elatt,Independent
6,Payyanur,Kannur,192,"1,88,935","97,926","91,006",LDF,T. I. Madhusoodanan,CPI(M)
6,Payyanur,Kannur,192,"1,88,935","97,926","91,006",UDF,V. Kunjikrishnan,Independent (RSP support)
6,Payyanur,Kannur,192,"1,88,935","97,926","91,006",NDA,A. P. Gangadharan,BJP
6,Payyanur,Kannur,192,"1,88,935","97,926","91,006",Others,Sandeep V. K.,Independent
